"X";"electricity..high.voltage...DE..electricity.production..deep.geothermal";"electricity..high.voltage...DE..electricity.production..hard.coal";"electricity..high.voltage...DE..electricity.production..hydro..pumped.storage";"electricity..high.voltage...DE..electricity.production..hydro..run.of.river";"electricity..high.voltage...DE..electricity.production..lignite";"electricity..high.voltage...DE..electricity.production..natural.gas..combined.cycle.power.plant";"electricity..high.voltage...DE..electricity.production..natural.gas..conventional.power.plant";"electricity..high.voltage...DE..electricity.production..nuclear..pressure.water.reactor";"electricity..high.voltage...DE..electricity.production..oil";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..multi.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..single.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..570kWp.open.ground.installation..multi.Si";"electricity..high.voltage...DE..electricity.production..wind...1MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind...3MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..offshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..onshore";"electricity..high.voltage...DE..heat.and.power.co.generation..biogas..gas.engine"
"94";"aluminium, primary, ingot//[IAI Area, EU27 & EFTA] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"95";"aluminium, primary, ingot//[IAI Area, Europe outside EU & EFTA] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"96";"aluminium, primary, ingot//[UN-OCEANIA] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"97";"aluminium, primary, liquid//[CA-QC] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"98";"aluminium, primary, liquid//[CN] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"99";"aluminium, primary, liquid//[IAI Area 1] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"aluminium, primary, liquid//[IAI Area 2, without Quebec] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"101";"aluminium, primary, liquid//[IAI Area 3] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"102";"aluminium, primary, liquid//[IAI Area 4&5 without China] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"aluminium, primary, liquid//[IAI Area 8] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"aluminium, primary, liquid//[IAI Area, EU27 & EFTA] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";"aluminium, primary, liquid//[IAI Area, Europe outside EU & EFTA] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";"aluminium, primary, liquid//[UN-OCEANIA] aluminium production, primary, liquid, prebake";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"107";"aluminium, primary, liquid//[CA-QC] aluminium production, primary, liquid, Söderberg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"108";"aluminium, primary, liquid//[IAI Area 2, without Quebec] aluminium production, primary, liquid, Söderberg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"109";"aluminium, primary, liquid//[IAI Area 3] aluminium production, primary, liquid, Söderberg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"110";"aluminium, primary, liquid//[IAI Area 4&5 without China] aluminium production, primary, liquid, Söderberg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"aluminium, primary, liquid//[IAI Area, EU27 & EFTA] aluminium production, primary, liquid, Söderberg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"112";"aluminium, primary, liquid//[IAI Area, Europe outside EU & EFTA] aluminium production, primary, liquid, Söderberg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"113";"aluminium sulfate, powder//[RER] aluminium sulfate production, powder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"114";"aluminium sulfate, without water, in 4.33% aluminium solution state//[CA-QC] aluminium sulfate production, without water, in 4.33% aluminium solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"115";"aluminium removed by turning, average, computer numerical controlled//[RER] aluminium turning, average, computer numerical controlled";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"116";"aluminium removed by turning, average, conventional//[RER] aluminium turning, average, conventional";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"117";"aluminium removed by turning, primarily dressing, computer numerical controlled//[RER] aluminium turning, primarily dressing, computer numerical controlled";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"118";"aluminium removed by turning, primarily dressing, conventional//[RER] aluminium turning, primarily dressing, conventional";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"119";"aluminium removed by turning, primarily roughing, computer numerical controlled//[RER] aluminium turning, primarily roughing, computer numerical controlled";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"120";"aluminium removed by turning, primarily roughing, conventional//[RER] aluminium turning, primarily roughing, conventional";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"121";"aluminium, primary, ingot//[IAI Area, EU27 & EFTA] aluminium, ingot, primary, import from Africa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"122";"aluminium, primary, ingot//[IAI Area, EU27 & EFTA] aluminium, ingot, primary, import from Asia (excluding China)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
